 ,Rxns,Reactions,Gene-Protein Rules,Lower Bound,Upper Bound
0,Diphosphate + H2O <=> 2 Orthophosphate,h2o[c] + ppi[c]  <=> 2 pi[c] ,MCON_1906,-20,20
0,2-Acetolactate + CO2 <=> 2 Pyruvate,co2[c] + 2acet[c]  <=> 2 pyr[c] ,MCON_0410 | MCON_0411,-20,20
0,Carbonic acid <=> CO2 + H2O,h2co3[c]  <=> h2o[c] + co2[c] ,MCON_1210,-20,20
0,2 Superoxide + 2 H+ <=> Hydrogen peroxide + Oxygen,2 h[c] + 2 o2s[c]  <=> o2[c] + h2o2[c] ,MCON_2612,-20,20
0,Glycine + H2O + NAD+ <=> Glyoxylate + Ammonia + NADH + H+,h2o[c] + nad[c] + gly[c]  <=> nadh[c] + nh4[c] + glx[c] + h[c] ,MCON_0907,-20,20
0,Methanol + Hydrogen peroxide <=> Formaldehyde + 2 H2O,h2o2[c] + meoh[c]  <=> 2 h2o[c] + fald[c] ,MCON_0161,-20,20
0,Glycerone phosphate + H2O <=> Glycerone + Orthophosphate,h2o[c] + dhap[c]  <=> pi[c] + dha[c] ,MCON_2339,-20,20
glycolysis,"beta-D-Fructose 1,6-bisphosphate <=> Glycerone phosphate + D-Glyceraldehyde 3-phosphate",f26bp[c]  <=> dhap[c] + g3p[c] ,MCON_2528 | MCON_1478 | MCON_3321 | MCON_3232 | MCON_2526,-20,20
0,"2,3-Dihydroxy-3-methylbutanoate <=> 3-Methyl-2-oxobutanoic acid + H2O",23dhmb[c]  <=> h2o[c] + 3mob[c] ,MCON_1149,-20,20
0,Phenol + Acetate <=> Phenyl acetate + H2O,ac[c] + phenol[c]  <=> h2o[c] + pac[c] ,MCON_1799,-20,20
glycolysis,3-Phospho-D-glyceroyl phosphate + H2O <=> 3-Phospho-D-glycerate + Orthophosphate,h2o[c] + 13dpg[c]  <=> pi[c] + 3pg[c] ,MCON_0840 | MCON_3294,-20,20
0,"(R,R)-Tartaric acid <=> D-Glycerate + CO2",  <=> co2[c] + glyc_R[c] ,MCON_1272,-20,20
0,alpha-D-Glucose 6-phosphate <=> beta-D-Fructose 6-phosphate,g6p[c]  <=> f6p[c] ,MCON_2977,-20,20
0,O-Phospho-D-serine + H2O <=> D-Serine + Orthophosphate,h2o[c] + pser_D[c]  <=> pi[c] + ser_D[c] ,MCON_0015 | MCON_0973,-20,20
0,dTDP-glucose <=> dTDP-galactose,dtdpglu[c]  <=> dtdpgal[c] ,MCON_1457 | MCON_1862 | MCON_3230 | MCON_1223,-20,20
0,2-Acetolactate + Thiamin diphosphate <=> 2-(alpha-Hydroxyethyl)thiamine diphosphate + Pyruvate,thmpp[c] + 2acet[c]  <=> pyr[c] + M00561[c] ,MCON_0410 | MCON_0411,-20,20
0,"2-Acetolactate + NADPH + H+ <=> 2,3-Dihydroxy-3-methylbutanoate + NADP+",nadph[c] + h[c] + 2acet[c]  <=> nadp[c] + 23dhmb[c] ,MCON_0412,-20,20
0,alpha-D-Hexose 1-phosphate <=> alpha-D-Hexose 6-phosphate,ahex1p[c]  <=> g6p[c] ,MCON_0725,-20,20
0,beta-D-Glucose 6-phosphate <=> beta-D-Fructose 6-phosphate,g6p_B[c]  <=> f6p[c] ,MCON_2977,-20,20
