Gene	Enzymes	Protein Families	Other Info
MCON_0015		&nbsp;&nbsp;&nbsp;01009 Protein phosphatases and associated proteins [BR:<a href="/brite/mcj01009+MCON_0015">mcj01009</a>]	
MCON_0018			
MCON_0025			
MCON_0026			
MCON_0069		&nbsp;&nbsp;&nbsp;01003 Glycosyltransferases [BR:<a href="/brite/mcj01003+MCON_0069">mcj01003</a>]	
MCON_0073			
MCON_0076		&nbsp;&nbsp;&nbsp;03009 Ribosome biogenesis [BR:<a href="/brite/mcj03009+MCON_0076">mcj03009</a>]	
MCON_0079		&nbsp;&nbsp;&nbsp;02048 Prokaryotic defense system [BR:<a href="/brite/mcj02048+MCON_0079">mcj02048</a>]	
MCON_0084		&nbsp;&nbsp;&nbsp;02048 Prokaryotic defense system [BR:<a href="/brite/mcj02048+MCON_0084">mcj02048</a>]	
MCON_0086			
MCON_0092			
MCON_0098			
MCON_0109			
MCON_0114		&nbsp;&nbsp;&nbsp;03009 Ribosome biogenesis [BR:<a href="/brite/mcj03009+MCON_0114">mcj03009</a>]	
MCON_0125		&nbsp;&nbsp;&nbsp;03016 Transfer RNA biogenesis [BR:<a href="/brite/mcj03016+MCON_0125">mcj03016</a>]	
MCON_0129		&nbsp;&nbsp;&nbsp;04147 Exosome [BR:<a href="/brite/mcj04147+MCON_0129">mcj04147</a>]	
MCON_0135			
MCON_0142			
MCON_0143		&nbsp;&nbsp;&nbsp;03400 DNA repair and recombination proteins [BR:<a href="/brite/mcj03400+MCON_0143">mcj03400</a>]	
MCON_0144		&nbsp;&nbsp;&nbsp;01007 Amino acid related enzymes [BR:<a href="/brite/mcj01007+MCON_0144">mcj01007</a>]	
MCON_0147			
MCON_0150		&nbsp;&nbsp;&nbsp;03016 Transfer RNA biogenesis [BR:<a href="/brite/mcj03016+MCON_0150">mcj03016</a>]	
MCON_0157		&nbsp;&nbsp;&nbsp;03019 Messenger RNA biogenesis [BR:<a href="/brite/mcj03019+MCON_0157">mcj03019</a>]	
MCON_0161			
MCON_0168			
MCON_0169			
MCON_0173			
MCON_0195			
MCON_0206			
MCON_0207			
MCON_0208			
MCON_0209			
MCON_0211			
MCON_0212		&nbsp;&nbsp;&nbsp;03400 DNA repair and recombination proteins [BR:<a href="/brite/mcj03400+MCON_0212">mcj03400</a>]	
MCON_0223			
MCON_0224			
MCON_0226			
MCON_0228		&nbsp;&nbsp;&nbsp;01007 Amino acid related enzymes [BR:<a href="/brite/mcj01007+MCON_0228">mcj01007</a>]	
MCON_0229			
MCON_0234			
MCON_0238			
MCON_0239			
MCON_0240			
MCON_0241			
MCON_0245			
MCON_0249			
MCON_0264		&nbsp;&nbsp;&nbsp;03400 DNA repair and recombination proteins [BR:<a href="/brite/mcj03400+MCON_0264">mcj03400</a>]	
MCON_0292		&nbsp;&nbsp;&nbsp;01001 Protein kinases [BR:<a href="/brite/mcj01001+MCON_0292">mcj01001</a>]	
MCON_0296			
MCON_0299			
MCON_0300			
MCON_0301			
MCON_0311		&nbsp;&nbsp;&nbsp;03029 Mitochondrial biogenesis [BR:<a href="/brite/mcj03029+MCON_0311">mcj03029</a>]	
MCON_0312		&nbsp;&nbsp;&nbsp;03029 Mitochondrial biogenesis [BR:<a href="/brite/mcj03029+MCON_0312">mcj03029</a>]	
MCON_0313		&nbsp;&nbsp;&nbsp;03029 Mitochondrial biogenesis [BR:<a href="/brite/mcj03029+MCON_0313">mcj03029</a>]	
MCON_0316			
MCON_0317		&nbsp;&nbsp;&nbsp;01002 Peptidases and inhibitors [BR:<a href="/brite/mcj01002+MCON_0317">mcj01002</a>]	
MCON_0322			
MCON_0330			
MCON_0338			
MCON_0339		&nbsp;&nbsp;&nbsp;03016 Transfer RNA biogenesis [BR:<a href="/brite/mcj03016+MCON_0339">mcj03016</a>]	
MCON_0363			
MCON_0405		&nbsp;&nbsp;&nbsp;03009 Ribosome biogenesis [BR:<a href="/brite/mcj03009+MCON_0405">mcj03009</a>]	
MCON_0409			
MCON_0410			
MCON_0411			
MCON_0412			
MCON_0418		&nbsp;&nbsp;&nbsp;03032 DNA replication proteins [BR:<a href="/brite/mcj03032+MCON_0418">mcj03032</a>]	
MCON_0422		&nbsp;&nbsp;&nbsp;03400 DNA repair and recombination proteins [BR:<a href="/brite/mcj03400+MCON_0422">mcj03400</a>]	
MCON_0429			
MCON_0430			
MCON_0442			
MCON_0444			
MCON_0451		&nbsp;&nbsp;&nbsp;03016 Transfer RNA biogenesis [BR:<a href="/brite/mcj03016+MCON_0451">mcj03016</a>]	
MCON_0459		&nbsp;&nbsp;&nbsp;01002 Peptidases and inhibitors [BR:<a href="/brite/mcj01002+MCON_0459">mcj01002</a>]	
MCON_0460			
MCON_0461			
MCON_0462			
MCON_0485			
MCON_0487			
MCON_0492			
MCON_0502			
MCON_0503			
MCON_0505			
MCON_0516		&nbsp;&nbsp;&nbsp;01002 Peptidases and inhibitors [BR:<a href="/brite/mcj01002+MCON_0516">mcj01002</a>]	
MCON_0521			
MCON_0533		&nbsp;&nbsp;&nbsp;03016 Transfer RNA biogenesis [BR:<a href="/brite/mcj03016+MCON_0533">mcj03016</a>]	
MCON_0536			
MCON_0543		&nbsp;&nbsp;&nbsp;02048 Prokaryotic defense system [BR:<a href="/brite/mcj02048+MCON_0543">mcj02048</a>]	
MCON_0548		&nbsp;&nbsp;&nbsp;03021 Transcription machinery [BR:<a href="/brite/mcj03021+MCON_0548">mcj03021</a>]	
MCON_0551		&nbsp;&nbsp;&nbsp;03016 Transfer RNA biogenesis [BR:<a href="/brite/mcj03016+MCON_0551">mcj03016</a>]	
MCON_0554			
MCON_0555			
MCON_0556		&nbsp;&nbsp;&nbsp;01004 Lipid biosynthesis proteins [BR:<a href="/brite/mcj01004+MCON_0556">mcj01004</a>]	
MCON_0558		&nbsp;&nbsp;&nbsp;01004 Lipid biosynthesis proteins [BR:<a href="/brite/mcj01004+MCON_0558">mcj01004</a>]	
MCON_0559		&nbsp;&nbsp;&nbsp;01004 Lipid biosynthesis proteins [BR:<a href="/brite/mcj01004+MCON_0559">mcj01004</a>]	
MCON_0561		&nbsp;&nbsp;&nbsp;01004 Lipid biosynthesis proteins [BR:<a href="/brite/mcj01004+MCON_0561">mcj01004</a>]	
MCON_0563		&nbsp;&nbsp;&nbsp;03016 Transfer RNA biogenesis [BR:<a href="/brite/mcj03016+MCON_0563">mcj03016</a>]	
MCON_0565			
MCON_0566			
MCON_0570		&nbsp;&nbsp;&nbsp;03016 Transfer RNA biogenesis [BR:<a href="/brite/mcj03016+MCON_0570">mcj03016</a>]	
MCON_0572			
MCON_0583			
MCON_0585		&nbsp;&nbsp;&nbsp;03009 Ribosome biogenesis [BR:<a href="/brite/mcj03009+MCON_0585">mcj03009</a>]	
MCON_0597			
MCON_0610			
MCON_0611			
MCON_0617		&nbsp;&nbsp;&nbsp;02000 Transporters [BR:<a href="/brite/mcj02000+MCON_0617">mcj02000</a>]	
MCON_0619			
MCON_0640		&nbsp;&nbsp;&nbsp;03021 Transcription machinery [BR:<a href="/brite/mcj03021+MCON_0640">mcj03021</a>]	
MCON_0651			
MCON_0660			
MCON_0667			
MCON_0672			
MCON_0701			
MCON_0714		&nbsp;&nbsp;&nbsp;03400 DNA repair and recombination proteins [BR:<a href="/brite/mcj03400+MCON_0714">mcj03400</a>]	
MCON_0716		&nbsp;&nbsp;&nbsp;02048 Prokaryotic defense system [BR:<a href="/brite/mcj02048+MCON_0716">mcj02048</a>]	
MCON_0717		&nbsp;&nbsp;&nbsp;02048 Prokaryotic defense system [BR:<a href="/brite/mcj02048+MCON_0717">mcj02048</a>]	
MCON_0725			
